date,Poland,Bangladesh
2020-10-09,116338,374592
2020-10-10,121638,375870
2020-10-11,125816,377073
2020-10-12,130210,378266
2020-10-13,135278,379738
2020-10-14,141804,381275
2020-10-15,149903,382959
2020-10-16,157608,384559
2020-10-17,167230,386086
2020-10-18,175766,387295
2020-10-19,183248,388569
2020-10-20,192539,390206
2020-10-21,202579,391586
2020-10-22,214686,393131
2020-10-23,228318,394827
2020-10-24,241946,396413
2020-10-25,253688,397507
2020-10-26,263929,398815
2020-10-27,280229,400251
2020-10-28,299049,401586
2020-10-29,319205,403079
2020-10-30,340834,404760
2020-10-31,362731,406364
2020-11-01,379902,407684
2020-11-02,395480,409252
2020-11-03,414844,410988
2020-11-04,439536,412647
2020-11-05,466679,414164
2020-11-06,493765,416006
2020-11-07,521640,417475
2020-11-08,546425,418764
2020-11-09,568138,420238
2020-11-10,593592,421921
2020-11-11,618813,423620
2020-11-12,641496,425353
2020-11-13,665547,427198
2020-11-14,691118,428965
2020-11-15,712972,430496
2020-11-16,733788,432333
2020-11-17,752940,434472
2020-11-18,772823,436684
2020-11-19,796798,438795
2020-11-20,819262,441159
2020-11-21,843475,443434
2020-11-22,861331,445281
2020-11-23,876333,447341
2020-11-24,909066,449760
2020-11-25,924422,451990
2020-11-26,941112,454146
2020-11-27,958416,456438
2020-11-28,973593,458711
2020-11-29,985075,460619
2020-11-30,990811,462407
2020-12-01,999924,464932
2020-12-02,1013747,467225
2020-12-03,1028610,469423
2020-12-04,1041846,471739
2020-12-05,1054273,473991
2020-12-06,1063449,475789
2020-12-07,1067870,477545
2020-12-08,1076180,479743
2020-12-09,1088346,481945
2020-12-10,1102096,484104
2020-12-11,1115201,485965
2020-12-12,1126700,487849
2020-12-13,1135676,489178
2020-12-14,1140572,490533
2020-12-15,1147446,492332
2020-12-16,1159901,494209
2020-12-17,1171854,495841
2020-12-18,1182864,496975
2020-12-19,1194110,498293
2020-12-20,1202700,499560
2020-12-21,1207333,500713
2020-12-22,1214525,502183
2020-12-23,1226883,503501
2020-12-24,1239998,504868
2020-12-25,1249079,506102
